Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2025-100000,2026-10-17,2026-10-18,Standard Class,Customer_280,Consumer,India,Delhi,North,Technology,Accessories,Accessories Product,17217.94,2,0.0,1721.79
CA-2025-100001,2026-08-28,2026-09-01,First Class,Customer_288,Consumer,India,Delhi,North,Office Supplies,Binders,Binders Product,15382.79,5,0.2,0.0
CA-2025-100002,2026-10-28,2026-11-02,Standard Class,Customer_217,Corporate,India,Jaipur,North,Office Supplies,Art,Art Product,41289.67,1,0.05,3096.73
CA-2025-100003,2025-10-12,2025-10-14,Second Class,Customer_136,Consumer,India,Kolkata,East,Furniture,Chairs,Chairs Product,6582.93,1,0.1,329.15
CA-2025-100004,2026-04-16,2026-04-21,Standard Class,Customer_99,Home Office,India,Mumbai,West,Furniture,Chairs,Chairs Product,38687.64,5,0.1,1934.38
CA-2025-100005,2025-03-13,2025-03-14,Second Class,Customer_233,Home Office,India,Kolkata,East,Furniture,Chairs,Chairs Product,59886.71,1,0.15,1497.17
CA-2025-100006,2026-01-09,2026-01-11,Standard Class,Customer_88,Home Office,India,Hyderabad,South,Furniture,Tables,Tables Product,46945.24,1,0.2,0.0
CA-2025-100007,2025-09-08,2025-09-10,Standard Class,Customer_167,Consumer,India,Ahmedabad,West,Furniture,Bookcases,Bookcases Product,69267.68,5,0.05,5195.08
CA-2025-100008,2025-08-23,2025-08-24,First Class,Customer_256,Corporate,India,Hyderabad,South,Furniture,Bookcases,Bookcases Product,4726.58,5,0.1,236.33
CA-2025-100009,2026-10-21,2026-10-25,Second Class,Customer_300,Corporate,India,Bangalore,South,Furniture,Tables,Tables Product,17339.26,5,0.2,0.0
CA-2025-100010,2026-08-21,2026-08-25,First Class,Customer_79,Home Office,India,Hyderabad,South,Office Supplies,Paper,Paper Product,35715.89,1,0.0,3571.59
CA-2025-100011,2025-06-13,2025-06-17,Second Class,Customer_284,Consumer,India,Lucknow,North,Office Supplies,Art,Art Product,26775.19,4,0.2,0.0
CA-2025-100012,2026-11-28,2026-11-29,Second Class,Customer_2,Home Office,India,Chandigarh,North,Furniture,Bookcases,Bookcases Product,7897.5,4,0.05,592.31
CA-2025-100013,2025-09-27,2025-10-02,Standard Class,Customer_102,Consumer,India,Bangalore,South,Technology,Phones,Phones Product,60949.25,3,0.2,0.0
CA-2025-100014,2026-01-18,2026-01-20,First Class,Customer_186,Corporate,India,Chandigarh,North,Technology,Phones,Phones Product,41966.23,4,0.0,4196.62
CA-2025-100015,2025-09-03,2025-09-04,Standard Class,Customer_65,Consumer,India,Kolkata,East,Technology,Phones,Phones Product,6087.18,4,0.0,608.72
CA-2025-100016,2026-11-07,2026-11-11,First Class,Customer_277,Home Office,India,Chandigarh,North,Office Supplies,Storage,Storage Product,36984.4,5,0.15,924.61
CA-2025-100017,2026-12-08,2026-12-10,First Class,Customer_127,Consumer,India,Pune,West,Furniture,Bookcases,Bookcases Product,30723.2,5,0.15,768.08
CA-2025-100018,2025-03-07,2025-03-10,First Class,Customer_31,Consumer,India,Delhi,North,Technology,Laptops,Laptops Product,16185.02,2,0.0,1618.5
CA-2025-100019,2025-03-11,2025-03-12,Standard Class,Customer_68,Home Office,India,Hyderabad,South,Office Supplies,Paper,Paper Product,19565.56,4,0.05,1467.42
CA-2025-100020,2026-08-08,2026-08-13,First Class,Customer_221,Corporate,India,Ahmedabad,West,Office Supplies,Art,Art Product,56544.04,2,0.0,5654.4
CA-2025-100021,2026-03-10,2026-03-14,Second Class,Customer_174,Consumer,India,Ahmedabad,West,Technology,Phones,Phones Product,47168.18,1,0.0,4716.82
CA-2025-100022,2025-09-12,2025-09-14,Second Class,Customer_128,Consumer,India,Kolkata,East,Technology,Accessories,Accessories Product,9898.74,2,0.1,494.94
CA-2025-100023,2026-03-30,2026-04-04,Second Class,Customer_249,Corporate,India,Mumbai,West,Office Supplies,Binders,Binders Product,67832.84,2,0.05,5087.46
CA-2025-100024,2025-08-07,2025-08-11,Second Class,Customer_147,Corporate,India,Delhi,North,Office Supplies,Art,Art Product,250.66,4,0.1,12.53
CA-2025-100025,2026-12-15,2026-12-20,Standard Class,Customer_278,Consumer,India,Ahmedabad,West,Office Supplies,Paper,Paper Product,20839.88,1,0.2,0.0
CA-2025-100026,2025-11-18,2025-11-19,First Class,Customer_261,Consumer,India,Delhi,North,Technology,Accessories,Accessories Product,35249.24,5,0.05,2643.69
CA-2025-100027,2025-07-10,2025-07-11,Standard Class,Customer_21,Home Office,India,Lucknow,North,Office Supplies,Paper,Paper Product,28323.91,5,0.05,2124.29
CA-2025-100028,2025-03-25,2025-03-29,Standard Class,Customer_161,Consumer,India,Lucknow,North,Technology,Laptops,Laptops Product,22214.25,3,0.05,1666.07
CA-2025-100029,2025-09-29,2025-10-03,First Class,Customer_235,Home Office,India,Bangalore,South,Technology,Laptops,Laptops Product,21069.8,3,0.0,2106.98
CA-2025-100030,2026-07-31,2026-08-01,First Class,Customer_126,Corporate,India,Mumbai,West,Technology,Phones,Phones Product,35461.34,2,0.1,1773.07
CA-2025-100031,2025-10-19,2025-10-21,Standard Class,Customer_284,Corporate,India,Ahmedabad,West,Technology,Laptops,Laptops Product,21245.95,5,0.0,2124.6
CA-2025-100032,2026-11-11,2026-11-12,Second Class,Customer_145,Home Office,India,Bangalore,South,Furniture,Chairs,Chairs Product,62290.92,5,0.05,4671.82
CA-2025-100033,2025-08-04,2025-08-07,Second Class,Customer_27,Consumer,India,Kolkata,East,Technology,Laptops,Laptops Product,59718.61,5,0.15,1492.97
CA-2025-100034,2026-10-12,2026-10-16,First Class,Customer_227,Home Office,India,Pune,West,Office Supplies,Binders,Binders Product,23415.6,2,0.1,1170.78
CA-2025-100035,2026-12-24,2026-12-28,First Class,Customer_190,Home Office,India,Chandigarh,North,Office Supplies,Binders,Binders Product,5359.55,2,0.2,0.0
CA-2025-100036,2026-07-20,2026-07-22,First Class,Customer_128,Home Office,India,Jaipur,North,Office Supplies,Binders,Binders Product,21647.26,1,0.1,1082.36
CA-2025-100037,2025-04-16,2025-04-19,First Class,Customer_212,Consumer,India,Chandigarh,North,Furniture,Tables,Tables Product,64810.89,2,0.05,4860.82
CA-2025-100038,2025-07-03,2025-07-06,Standard Class,Customer_56,Corporate,India,Jaipur,North,Technology,Laptops,Laptops Product,56771.38,3,0.05,4257.85
CA-2025-100039,2025-02-09,2025-02-13,First Class,Customer_99,Corporate,India,Kolkata,East,Office Supplies,Art,Art Product,24541.12,2,0.05,1840.58
CA-2025-100040,2025-12-03,2025-12-06,Second Class,Customer_15,Consumer,India,Mumbai,West,Furniture,Bookcases,Bookcases Product,44939.57,4,0.2,0.0
CA-2025-100041,2025-09-25,2025-09-27,Standard Class,Customer_161,Corporate,India,Lucknow,North,Furniture,Chairs,Chairs Product,7677.34,4,0.1,383.87
CA-2025-100042,2026-09-13,2026-09-18,Standard Class,Customer_276,Home Office,India,Mumbai,West,Furniture,Tables,Tables Product,17905.1,4,0.0,1790.51
CA-2025-100043,2026-11-18,2026-11-20,Second Class,Customer_64,Home Office,India,Hyderabad,South,Furniture,Chairs,Chairs Product,66426.33,3,0.2,0.0
